SID,SMILES,Carcinogenicity-Rat
48413221,C1=CC=C(C(=C1)C(=O)O)N,non-carcinogenic
48413224,CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl,carcinogenic
48413226,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)[O-].[Na+],carcinogenic
48413227,C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,carcinogenic
48413228,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=C(C=C2)Cl)Cl,carcinogenic
48413229,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,carcinogenic
48413230,C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413231,O[As](=O)(O)[O-].[Na+],non-carcinogenic
48413233,[O-][As]=O.[Na+],non-carcinogenic
48413234,C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],non-carcinogenic
48413235,C(C(C1C(=C(C(=O)O1)O)O)O)O,non-carcinogenic
48413236,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,non-carcinogenic
48413237,CC(=O)OC1=CC=CC=C1C(=O)O,non-carcinogenic
48413239,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,non-carcinogenic
48413240,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O.Cl,non-carcinogenic
48413241,CCNC1=NC(=NC(=N1)Cl)NC(C)C,carcinogenic
48413242,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,non-carcinogenic
48413243,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,carcinogenic
48413245,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,carcinogenic
48413246,C1=NN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,non-carcinogenic
48413247,C(C(C(=O)O)N)OC(=C[N+]#N)[O-],carcinogenic
48413248,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],non-carcinogenic
48413249,CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C,non-carcinogenic
48413250,[N-]=[N+]=[N-].[Na+],non-carcinogenic
48413251,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,non-carcinogenic
48413252,C1=CC=C(C=C1)N=NC2=CC=CC=C2,carcinogenic
48413253,CN=[N+](C)[O-],carcinogenic
48413254,CCCN=[N+](CCC)[O-],carcinogenic
48413255,CC(C)N=[N+](C(C)C)[O-],carcinogenic
48413256,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],carcinogenic
48413257,CCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+],carcinogenic
48413258,C1C(=O)NC(=O)NC1=O,non-carcinogenic
48413259,CC(=O)[O-].CC(=O)[O-].[Ba+2],non-carcinogenic
48413260,O.O.[Cl-].[Cl-].[Ba+2],non-carcinogenic
48413261,CCOCCC1=C(N=C(N2C1=NC=N2)N)C3=CC=CC=C3,carcinogenic
48413262,C1=CC(=CC=C1C(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O,non-carcinogenic
48413263,C1=CC=C(C=C1)C=O,non-carcinogenic
48413264,C1=CC=CC=C1,carcinogenic
48413267,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,carcinogenic
48413269,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,carcinogenic
48413270,C1=CC=C(C=C1)C(=O)[O-].[Na+],non-carcinogenic
48413271,C1=CC=C2C(=C1)C=CO2,carcinogenic
48413272,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,non-carcinogenic
48413273,C1=CC=C(C=C1)C(=O)O,non-carcinogenic
48413274,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,non-carcinogenic
48413277,C1=CC2=NNN=C2C=C1,non-carcinogenic
48413280,CC(=O)OCC1=CC=CC=C1,non-carcinogenic
48413281,C1=CC=C(C=C1)CO,non-carcinogenic
48413282,C1=CC=C(C=C1)CCl,non-carcinogenic
48413283,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,non-carcinogenic
48413284,C1=CC=C(C=C1)CN=C=S,non-carcinogenic
48413285,C1=CC=C(C=C1)CSC#N,non-carcinogenic
48413287,C1=CC=C(C=C1)C[N+]2=NOC(=C2CC(=O)N)[O-],carcinogenic
48413288,[Be+2].[O-]S(=O)(=O)[O-],non-carcinogenic
48413292,C1=CC=C(C=C1)C2=CC=CC=C2N.Cl,non-carcinogenic
48413293,C(C(CO)(CBr)CBr)O,carcinogenic
48413295,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,non-carcinogenic
48413296,CC(CCl)OC(C)CCl,non-carcinogenic
48413302,C(OCCl)Cl,carcinogenic
48413303,C(C(CBr)Br)OP(=O)([O-])OCC(CBr)Br.C(C(CBr)Br)OP(=O)([O-])OCC(CBr)Br.[Mg+2],carcinogenic
48413304,C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl,non-carcinogenic
48413305,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=C(S3)[N+](=O)[O-])N(CCO)CCO,carcinogenic
48413306,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CS3)N(CCO)CCO,non-carcinogenic
48413308,CC(CNCC(C)O)O,non-carcinogenic
48413310,O=[Bi].Cl,non-carcinogenic
48413311,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,non-carcinogenic
48413312,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=NNC3=C4C=C(C=CC4=C(C=C3)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])S(=O)(=O)[O-])C2=O)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],non-carcinogenic
48413313,C1=CC=C(C=C1)NN=C2C(=CC3=CC(=C(C(=C3C2=O)N)N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],carcinogenic
48413314,C1=CC(=CC=C1C2=CC=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],carcinogenic
48413315,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])OC)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],carcinogenic
48413316,C1=CC(=C(C=C1C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)O)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Cu].[Cu],carcinogenic
48413317,C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N,carcinogenic
48413318,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+],non-carcinogenic
48413319,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C(=C3C(=O)C4=C(N3)C=CC(=C4)S(=O)(=O)[O-])N2.[Na+].[Na+],non-carcinogenic
48413320,CNC1=C(C=C(C=C1)N(CCO)CCO)[N+](=O)[O-],carcinogenic
48413322,C1=CC(=C(C=C1N(CCO)CCO)[N+](=O)[O-])NCCO,non-carcinogenic
48413325,[O-]Br(=O)=O.[K+],carcinogenic
48413327,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,carcinogenic
48413328,C(Cl)(Cl)Br,carcinogenic
48413329,CCBr,carcinogenic
48413331,C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)[O-])C(=O)[O-])NN=C4C(=O)C=CC(=NNC5=C(C=CC(=C5)S(=O)(=O)[O-])[O-])C4=O.[Na+].[Na+].[Cu+2],carcinogenic
48413332,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,carcinogenic
48413333,C=CC=C,carcinogenic
48413334,CCCCOCCO,non-carcinogenic
48413335,CC(C)(C)O,carcinogenic
48413337,CCCCCl,non-carcinogenic
48413341,CCCCN(CCCCO)N=O,carcinogenic
48413342,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CO,non-carcinogenic
48413343,CC1=CC(=C(C=C1)O)C(C)(C)C,non-carcinogenic
48413344,CCCCN(C(=N[N+](=O)[O-])N)N=O,non-carcinogenic
48413345,CCCCN(C(=O)N)N=O,carcinogenic
48413346,CC(C)(C)C1=C(C=CC(=C1)OC)O,carcinogenic
48413347,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,non-carcinogenic
48413352,CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,non-carcinogenic
48413353,CC(C)(C)C1=CC=C(C=C1)O,non-carcinogenic
48413354,CCCCNC(=O)N,non-carcinogenic
48413355,CC1CC(=O)O1,carcinogenic
48413356,C1CC(=O)OC1,non-carcinogenic
48413357,CC(=O)[O-].CC(=O)[O-].[Cd+2],non-carcinogenic
48413358,[Cl-].[Cl-].[Cd+2],carcinogenic
48413359,O.[Cl-].[Cl-].[Cd+2],non-carcinogenic
48413361,[O-]S(=O)(=O)[O-].[Cd+2],carcinogenic
48413362,O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Cd+2].[Cd+2].[Cd+2],non-carcinogenic
48413363,C1=CC(=C(C=C1C=CC(=O)O)O)O,carcinogenic
48413364,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,non-carcinogenic
48413366,CC(=O)[O-].CC(=O)[O-].[Ca+2],non-carcinogenic
48413367,[Cl-].[Cl-].[Ca+2],non-carcinogenic
48413368,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2],non-carcinogenic
48413369,CCCC(CCC)C(=O)[O-].CCCC(CCC)C(=O)[O-].[Ca+2],carcinogenic
48413370,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,non-carcinogenic
48413371,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,non-carcinogenic
48413372,C1CCC(=O)NCC1,non-carcinogenic
48413374,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,carcinogenic
48413375,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,carcinogenic
48413378,C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O,non-carcinogenic
48413379,CNC(=O)OC1=CC=CC2=CC=CC=C21,carcinogenic
48413382,C(Cl)(Cl)(Cl)Cl,carcinogenic
48413383,C(C(=O)O)N(C(=O)N)N=O,carcinogenic
48413384,CCC(CC)(C(=O)NC(=O)N)Br,non-carcinogenic
48413385,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,non-carcinogenic
48413390,C1=CC=C(C(=C1)O)O,carcinogenic
48413391,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,non-carcinogenic
48413392,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,non-carcinogenic
48413393,CC1OC2(CN3CCC2CC3)CS1.CC1OC2(CN3CCC2CC3)CS1.O.Cl.Cl,non-carcinogenic
48413395,C(C(Cl)(Cl)Cl)(O)O,non-carcinogenic
48413396,C1=C(C=C(C(=C1N)Cl)C(=O)O)Cl,non-carcinogenic
48413397,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,carcinogenic
48413399,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],non-carcinogenic
48413401,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,non-carcinogenic
48413402,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,carcinogenic
48413403,CCC(CCC(C(CC(C(C(CCl)Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413404,CCCC(CCC(CCC(CCC(CCC(CCC(CCC(C)Cl)Cl)Cl)Cl)Cl)Cl)Cl,non-carcinogenic
48413407,ClCl,non-carcinogenic
48413409,C1=CC(=CC=C1N)OC2=CC=C(C=C2)Cl,carcinogenic
48413410,C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O,carcinogenic
48413411,CC1CC(CN(C1)S(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)O)C,carcinogenic
48413412,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,non-carcinogenic
48413414,CC(=C)CCl,carcinogenic
48413415,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,non-carcinogenic
48413416,C1=CC(=CC=C1[N+](=O)[O-])Cl,non-carcinogenic
48413417,C1=CC(=C(C=C1N)N)Cl,carcinogenic
48413418,C1=CC(=C(C=C1Cl)N)N,carcinogenic
48413419,C1=CC(=C(C=C1N)Cl)N.OS(=O)(=O)O,non-carcinogenic
48413420,CC(CCl)O,non-carcinogenic
48413421,CC1=C(C=C(C=C1)N)Cl,non-carcinogenic
48413422,CC1=C(C=C(C=C1)Cl)N,non-carcinogenic
48413423,CC1=C(C=CC(=C1)Cl)N.Cl,non-carcinogenic
48413424,C(C(F)(F)F)Cl,carcinogenic
48413425,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,carcinogenic
48413426,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)NCCO)Cl)C,carcinogenic
48413428,C1=CC=C(C=C1)C(=O)CCl,non-carcinogenic
48413429,CC(=O)NC1=CC=C(C=C1)C(=O)CCl,non-carcinogenic
48413430,C1=CC(=CC=C1N)Cl,non-carcinogenic
48413431,C1=CC(=CC=C1N)Cl.Cl,carcinogenic
48413432,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,non-carcinogenic
48413433,C1=CC=C(C=C1)Cl,carcinogenic
48413434,CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,non-carcinogenic
48413435,C(Cl)(Br)Br,non-carcinogenic
48413436,C(F)(F)Cl,non-carcinogenic
48413437,CCCl,non-carcinogenic
48413438,C[N+](C)(C)CCCl.[Cl-],non-carcinogenic
48413439,CC(CNC(=O)N(C(C)Cl)N=O)O,carcinogenic
48413440,C(F)Cl,carcinogenic
48413441,C(Cl)(Cl)Cl,carcinogenic
48413442,COCCl,carcinogenic
48413443,C1=CC=NC(=C1)CCl.Cl,non-carcinogenic
48413444,C1=CC(=CN=C1)CCl.Cl,carcinogenic
48413446,CN(C)C(=O)NC1=CC=C(C=C1)Cl,carcinogenic
48413447,CC1C2=NN=C(N2C3=C(C=C(S3)CCC4=CC=C(C=C4)CC(C)C)C(=N1)C5=CC=CC=C5Cl)C,non-carcinogenic
48413448,C#CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OC(=O)N,carcinogenic
48413449,C1=CC(=CC=C1SC2=CC(=C(C=C2Cl)Cl)Cl)Cl,non-carcinogenic
48413451,C=CC(=C)Cl,carcinogenic
48413451,C=CC(=C)Cl,carcinogenic
48413455,C(C(F)(F)F)(F)Cl,non-carcinogenic
48413456,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,carcinogenic
48413457,C(CCl)N(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,carcinogenic
48413458,C[NH+](C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)[O-])C(=O)O,non-carcinogenic
48413459,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,non-carcinogenic
48413462,C[N+](C)(C)CCO.[Cl-],non-carcinogenic
48413463,O=[Cr]O[Cr]=O,non-carcinogenic
48413464,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Cr+3],non-carcinogenic
48413465,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,carcinogenic
48413466,CC1=C(N=CN1)CSCCNC(=NC)NC#N,non-carcinogenic
48413467,C1=CC=C(C=C1)C=CC=O,non-carcinogenic
48413468,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N,carcinogenic
48413469,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,carcinogenic
48413470,CC(=CCCC(=CC=O)C)C,non-carcinogenic
48413471,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,non-carcinogenic
48413472,CC1C(OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,carcinogenic
48413473,CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)[O-])C)C=C,carcinogenic
48413474,CC(C)(C(=O)O)OCC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,non-carcinogenic
48413475,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,carcinogenic
48413477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,non-carcinogenic
48413478,C1=CC(=CC(=C1)Cl)C2=CC(=CC=C2)Cl,carcinogenic
48413479,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Co+2],carcinogenic
48413480,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,non-carcinogenic
48413481,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,non-carcinogenic
48413482,CC1=CC2=C(C=C1)C(=NC(=O)N2C(C)C)C3=CC(=CC=C3)O,non-carcinogenic
48413486,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,non-carcinogenic
48413487,C1=CC=C2C(=C1)C=CC(=O)O2,carcinogenic
48413488,CC1=C(C=CC(=C1)OC)N,carcinogenic
48413489,CC1=CC(=C(C=C1)OC)N,carcinogenic
48413490,CC=CC=O,carcinogenic
48413491,C1=CC=C(C=C1)N(N=O)[O-].[NH4+],carcinogenic
48413493,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,carcinogenic
48413494,C(#N)N=C(N)N,non-carcinogenic
48413495,C1CCC(CC1)NS(=O)(=O)[O-].[Na+],non-carcinogenic
48413497,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N,non-carcinogenic
48413498,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O,non-carcinogenic
48413499,C1CCC(=O)CC1,non-carcinogenic
48413501,C1CCC(CC1)N.Cl,non-carcinogenic
48413502,C1CCC(CC1)N.OS(=O)(=O)O,non-carcinogenic
48413503,C1CCC(=NO)C1,carcinogenic
48413504,COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3,carcinogenic
48413505,C1CNP(=O)(OC1)N(CCCl)CCCl,carcinogenic
48413506,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,non-carcinogenic
48413508,C(C(C(=O)O)N)S.Cl,non-carcinogenic
48413509,COC1=CC=C(C=C1)C(=O)C(=CC(=O)[O-])Br.[Na+],carcinogenic
48413510,CN(C)NN=C1C(=NC=N1)C(=O)N,carcinogenic
48413511,CN(C)NC(=O)CCC(=O)O,carcinogenic
48413512,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,carcinogenic
48413514,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,non-carcinogenic
